Scanning 944 books for non-RAG-worthy content...
================================================================================

================================================================================
AUTOBIOGRAPHICAL (9 books)
================================================================================
  380 diagrams | Keyword: fischer_              | soltis_2020_bobby_fischer_rediscovered_batsford.epub
  368 diagrams | Keyword: steinitz_             | pritchett_2022_modern_chess_from_steinitz_to_the_21st_century_thinkers_no_dg.epub
  365 diagrams | Keyword: morphy_               | franco_2016_morphy_move_by_move_everyman.epub
  359 diagrams | Keyword: capablanca_           | unknown_author_0000_the_immortal_games_of_capablanca_fred_reinfeld.epub
  334 diagrams | Keyword: fischer_              | mark_2021_i_was_a_victim_of_bobby_fischer_quality_chess.epub
  312 diagrams | Keyword: lasker_               | emanuel_2013_lasker_s_manual_of_chess_dover_publications.epub
  302 diagrams | Keyword: alekhine_             | voronkov_1921_alexander_alekhine_the_russian_sphinx_volume_i.epub
  281 diagrams | Keyword: alekhine_             | lakdawala_2014_alekhine_defence_move_by_move_everyman.epub
  254 diagrams | Keyword: fischer_              | bobby_2009_my_60_memorable_games_chess_tactics_chess_strategies_with_bobby_fischer_batsford.epub
  253 diagrams | Keyword: morphy_               | sergeant_0000_morphy_s_games_of_chess_dover_publications.epub
  221 diagrams | Keyword: lasker_               | isaak_linder_2010_emanuel_lasker_second_world_chess_champion_russell_enterprises_inc.epub
  207 diagrams | Keyword: fischer_              | unknown_author_1964_legend_on_the_road_fischer_simul_tour_donaldson.epub
  201 diagrams | Keyword: karpov_               | erwich_2016_tactics_training_anatoly_karpov_nic.epub
  175 diagrams | Keyword: alekhine_             | tim_2022_chess_strategy_alekhine_scandinavian_how_to_beat_intermediate_chess_players.epub
  151 diagrams | Keyword: capablanca_           | capablanca_2016_chess_fundamentals_anboco.epub
  151 diagrams | Keyword: capablanca_           | unknown_author_0000_henry_bird_edward_lasker_josé_raul_capablanca_chess_strategy_a_complete_guide_for_beginners_to_chess_fundamentals.epub
  118 diagrams | Keyword: fischer_              | brady_2011_endgame_bobby_fischer_s_remarkable_rise_and_fall_crown_publishers.epub
    0 diagrams | Keyword: alekhine_             | unknown_author_2021_the_modernized_alekhine_gm_christian_bauer_thinkers_publishing_tls.epub

================================================================================
GENERAL INTEREST (25 books)
================================================================================
  924 diagrams | Keyword: secrets_of            | rakhmanov_2021_rakhmanov_s_secrets_of_opening_preparation_thinkers.epub
  851 diagrams | Keyword: thinking              | aagaard_2017_gm_preparation_thinking_inside_the_box_quality_chess.epub
  818 diagrams | Keyword: secrets_of            | muller_0000_secrets_of_pawn_endings.epub
  721 diagrams | Keyword: art_of                | rudolf_0000_the_art_of_sacrifice_in_chess.epub
  642 diagrams | Keyword: thinking              | shereshevsky_0000_associative_thinking.epub
  641 diagrams | Keyword: psychology            | zlatanovic_2024_the_imparable_logic_and_psychology_in_chess_thinkers.epub
  440 diagrams | Keyword: genius                | unknown_author_0000_forgotten_genius_the_life_games_of_gm_dragoljub_velimirovic_vol_1_georg_mohr_ana_velimir.epub
  382 diagrams | Keyword: art_of                | neil_2021_attack_the_subtle_art_of_winning_brilliantly_everyman_chess.epub
  367 diagrams | Keyword: thinking              | benjamin_2018_better_thinking_better_chess_how_a_grandmaster_finds_his_moves_new_in_chess.epub
  367 diagrams | Keyword: thinking              | joel_2018_better_thinking_better_chess_how_a_grandmaster_finds_his_moves_new_in_chess.epub
